Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2016","2016","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2016","2016","g/cap/d","0.74","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2017","2017","1000 t","27","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2017","2017","1000 t","10","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2017","2017","1000 t","35","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2017","2017","g/cap/d","0.98","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2018","2018","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2018","2018","1000 t","15","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2018","2018","1000 t","40","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2018","2018","g/cap/d","1.12","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2019","2019","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2019","2019","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2019","2019","1000 t","29","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2019","2019","g/cap/d","0.77","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2020","2020","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2020","2020","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2020","2020","1000 t","30","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2020","2020","g/cap/d","0.8","E","Estimated value",""
