hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_hh_homelot,ag_area_homelot,ag_hh_parcel,ag_area_parcel,ag_hh,ag_area,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID104779,5,0,1,1,1,1,.12,1,.45,1,.56999999,Mountain,0,2,2,0,0,0,0,,0,.12,.4500000104308128,.56999999,,1,0,0,.70175439,.70175439,1,600000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,768,96,192
HID104786,13,1,1,1,1,1,.154,1,9.5,1,9.6540003,Mountain,0,2,2,1,1,0,1,.003000000026077,1,.154,9.5,9.6540003,.00031075202,1,0,0,.310752,.310752,1,3690000,900,1,4,4,0,,,,,,,,,,,.41433603,.41433603,0,,,0,0,1,1,0,4400,550,550
HID104872,16,,,,,1,.15,1,4,1,4.1500001,Mountain,0,1,1,0,0,0,0,,0,.15,4,4.1500001,,0,,,,,0,,,1,4,4,10000,0,10000,0,0,0,0,0,0,1,1,.96385539,.96385539,0,45000000,4500,0,0,0,0,0,1805,225.625,265
HID104920,17,1,0,0,1,1,.05,1,.5,1,.55000001,Tonle Sap,1,2,2,0,0,0,0,.0099999997764826,1,.05,.5,.55000001,.018181818,1,0,0,.90909088,.90909088,1,1080000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,476,59.5,196
HID104929,7,1,0,0,1,1,.04,0,0,1,.039999999,Coastal,0,1,1,0,0,0,0,.0007999999797903,1,.04,,.039999999,.02,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,720,90,180
HID105113,3,1,0,0,1,0,,0,,0,,Plain,0,2,1,0,0,0,0,,0,.0144,,.0144,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,,0,0,0,450,56.25,90
HID105117,9,,,,,0,0,1,2,1,2,Coastal,0,2,1,0,0,0,0,,0,.0063,2,2.0063,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3960,495,720
HID105181,1,1,1,1,1,1,.0225,1,2,1,2.0225,Tonle Sap,0,0,0,0,0,0,0,.0040000001899898,1,.0225,2,2.0225,.0019777503,1,.875,1,.98887515,.98887515,0,6800000,850,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2160,270,720
HID105281,21,0,1,1,1,1,.036,1,1.899999988079071,1,1.936,Plain,0,2,1,0,0,0,0,.0043999999761581,1,.036,1.899999991059303,1.936,.0022727272,1,.625,1,.98140496,.98140496,0,6320000,790,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,258,32.25,60
HID105463,14,1,0,0,1,1,.03,1,.2,1,.23,Plain,0,1,1,1,0,0,0,.0024000001139939,1,.03,.2000000029802322,.23,.010434783,1,0,0,.86956519,.86956519,1,663000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,380,47.5,370
HID105557,7,1,0,0,1,1,.075,0,0,1,.075000003,Coastal,0,1,0,0,0,1,1,.0024999999441206,1,.075,,.075000003,.033333331,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1776,222,489
