hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID583614,Kampong Speu,.1500000059604645,.1500000059604645,0,0,0,0,0,0,0,0,0
HID583694,Koh Kong,.25,.25,0,0,0,0,0,0,0,0,0
HID583790,Svay Rieng,.6798999905586243,.6798999905586243,3200,1200,2000,0,0,0,0,0,0
HID583826,Kampong Thom,1,1,0,0,0,0,0,0,0,0,0
HID583857,Prey Veng,.8999999761581421,.8999999761581421,0,0,0,0,0,0,0,0,0
HID584063,Tboung Khmum,.699999988079071,.699999988079071,3500,1500,2000,0,0,0,0,0,0
HID584095,Battambang,0,0,0,,,,,,,,
HID584178,Preah Vihear,0,0,0,,,,,,,,
HID584215,Banteay Meanchey,1,1,3000,1000,1000,0,0,0,1000,0,0
HID584238,Koh Kong,0,0,0,,,,,,,,
HID584350,Kampong Cham,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID584381,Kampong Chhnang,5.730000019073486,5.730000019073486,16000,1000,12000,0,0,0,3000,0,0
HID584484,Mondul Kiri,0,0,0,,,,,,,,
HID584540,Phnom Penh,.5,.5,0,0,0,0,0,0,0,0,0
HID584547,Banteay Meanchey,1.5,1.5,3240,1600,1000,0,0,150,300,50,140
HID584624,Battambang,0,0,0,,,,,,,,
HID585132,Ratanak Kiri,1,1,0,0,0,0,0,0,0,0,0
HID585347,Kampot,.5,.5,0,0,0,0,0,0,0,0,0
HID585382,,0,0,0,,,,,,,,
HID585515,Kandal,.6399999856948853,.6399999856948853,0,0,0,0,0,0,0,0,0
HID585572,Kampot,.4280000030994415,.4280000030994415,0,0,0,0,0,0,0,0,0
HID585576,Siem Reap,0,0,0,,,,,,,,
HID585650,Siem Reap,3,3,4700,700,4000,0,0,0,0,0,0
HID585655,Takeo,.5199999809265137,.5199999809265137,2000,0,2000,0,0,0,0,0,0
HID585667,Kratie,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
HID585896,Phnom Penh,0,0,0,,,,,,,,
HID586125,Prey Veng,0,0,0,,,,,,,,
HID586487,Kampong Cham,.5,.5,0,0,0,0,0,0,0,0,0
HID586662,Kampong Speu,0,0,0,,,,,,,,
HID586710,Preah Vihear,2.5,2.5,2400,1200,1200,0,0,0,0,0,0
HID586790,Ratanak Kiri,0,0,0,,,,,,,,
HID586868,Prey Veng,.1500000059604645,.1500000059604645,0,0,0,0,0,0,0,0,0
HID587016,Kampot,.4000000059604645,.4000000059604645,1200,600,600,0,0,0,0,0,0
HID587024,Svay Rieng,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID587143,Koh Kong,0,0,0,,,,,,,,
HID587152,Tboung Khmum,0,0,0,,,,,,,,
HID587260,Kampong Speu,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID587351,Kampot,.5899999737739563,.5899999737739563,0,0,0,0,0,0,0,0,0
HID587368,Kampong Thom,0,0,0,,,,,,,,
HID587508,Svay Rieng,.8999999761581421,.8999999761581421,0,0,0,0,0,0,0,0,0
HID587509,Kampong Thom,0,0,0,,,,,,,,
HID587523,Kampong Thom,4,4,28000,6000,22000,0,0,0,0,0,0
HID588042,Pursat,.8500000238418579,.8500000238418579,2500,1000,1500,0,0,0,0,0,0
HID588186,Battambang,0,0,0,,,,,,,,
HID588309,Pursat,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID588522,Prey Veng,1.100000023841858,1.100000023841858,10800,2000,8800,0,0,0,0,0,0
HID588628,Battambang,5.28000020980835,5.28000020980835,16000,2000,14000,0,0,0,0,0,0
