hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID905619,15,6,6,13000,2000,11000,0,0,0,0,0,0
HID905732,4,2,2,0,0,0,0,0,0,0,0,0
HID905899,2,0,0,0,,,,,,,,
HID905916,20,.5,.5,0,0,0,0,0,0,0,0,0
HID905946,12,.0799999982118607,.0799999982118607,0,0,0,0,0,0,0,0,0
HID905971,6,.8999999761581421,.8999999761581421,0,0,0,0,0,0,0,0,0
HID906006,7,0,0,0,,,,,,,,
HID906072,24,0,0,0,,,,,,,,
HID906243,7,0,0,0,,,,,,,,
HID906274,17,2,2,0,0,0,0,0,0,0,0,0
HID906357,13,10,10,18330,8000,10330,0,0,0,0,0,0
HID906364,7,2,2,3600,1600,2000,0,0,0,0,0,0
HID906436,17,0,0,0,,,,,,,,
HID906618,1,.800000011920929,.800000011920929,0,0,0,0,0,0,0,0,0
HID906654,3,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID906753,12,0,0,0,,,,,,,,
HID906817,17,0,0,0,,,,,,,,
HID906890,1,2,2,5000,2000,3000,0,0,0,0,0,0
HID906947,14,1,1,0,0,0,0,0,0,0,0,0
HID907067,14,1,1,1500,350,0,0,0,50,400,0,700
HID907094,6,1.600000023841858,1.600000023841858,2000,1000,1000,0,0,0,0,0,0
HID907118,21,1.820000052452087,1.820000052452087,6800,2000,4800,0,0,0,0,0,0
HID907161,5,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
HID907228,13,0,0,0,,,,,,,,
HID907337,7,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID907499,17,.5,.5,0,0,0,0,0,0,0,0,0
HID907580,17,2,2,7000,2000,5000,0,0,0,0,0,0
HID907755,13,1,1,0,0,0,0,0,0,0,0,0
HID907894,14,0,0,0,,,,,,,,
HID907929,18,0,0,0,,,,,,,,
HID907968,7,1.049999952316284,1.049999952316284,2050,1050,1000,0,0,0,0,0,0
HID908027,23,.2300000041723251,.2300000041723251,0,0,0,0,0,0,0,0,0
HID908314,23,.4000000059604645,.4000000059604645,990,500,0,440,0,0,50,0,0
HID908587,20,0,0,0,,,,,,,,
HID908606,18,0,0,0,,,,,,,,
HID908694,9,1,1,0,0,0,0,0,0,0,0,0
HID908789,8,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID908816,23,1.899999976158142,1.899999976158142,0,0,0,0,0,0,0,0,0
HID908899,8,2.5,2.5,13000,1500,11500,0,0,0,0,0,0
HID908917,7,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID909106,4,0,0,0,,,,,,,,
HID909214,21,0,0,0,,,,,,,,
HID909228,25,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID909244,13,2.5,3,6000,0,6000,0,0,0,0,0,0
HID909273,24,0,0,0,,,,,,,,
HID909339,3,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID909366,5,2,2,6000,2000,4000,0,0,0,0,0,0
HID909386,7,0,0,0,,,,,,,,
HID909394,21,.25,.25,0,0,0,0,0,0,0,0,0
HID909419,24,0,0,0,,,,,,,,
HID909576,2,.5,.5,0,0,0,0,0,0,0,0,0
HID909613,2,3,3,5000,1000,3500,0,0,0,500,0,0
HID909632,11,5,5,5000,3000,2000,0,0,0,0,0,0
HID909654,15,2,2,4000,2000,2000,0,0,0,0,0,0
HID909760,14,.5,.5,1420,1000,0,200,0,40,150,30,0
HID909862,7,.6000000238418579,.6000000238418579,0,0,0,0,0,0,0,0,0
HID909935,14,1,1,0,0,0,0,0,0,0,0,0
HID909958,24,0,0,0,,,,,,,,
HID910112,15,0,0,0,,,,,,,,
HID910163,9,0,0,0,0,0,0,0,0,0,0,0
HID910190,7,.3799999952316284,.3799999952316284,0,0,0,0,0,0,0,0,0
HID910316,19,.800000011920929,.800000011920929,0,0,0,0,0,0,0,0,0
HID910361,24,0,0,0,,,,,,,,
HID910364,14,1.299999952316284,1.299999952316284,5000,1000,3680,0,0,0,300,20,0
HID910385,13,0,0,0,,,,,,,,
HID910435,21,1.809999942779541,1.809999942779541,0,0,0,0,0,0,0,0,0
HID910556,1,0,0,0,,,,,,,,
HID910666,5,.6000000238418579,.6000000238418579,0,0,0,0,0,0,0,0,0
HID910673,,3,3,9540,2000,7000,0,0,0,540,0,0
HID910698,11,0,0,0,,,,,,,,
HID910763,15,2,2,0,0,0,0,0,0,0,0,0
HID910941,24,3,3,115,30,70,0,0,0,15,0,0
HID910993,25,.3499999940395355,.3499999940395355,0,0,0,0,0,0,0,0,0
HID910994,7,.6899999976158142,.6899999976158142,0,0,0,0,0,0,0,0,0
HID911004,14,.5,.5,2200,1200,1000,0,0,0,0,0,0
HID911049,25,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID911107,3,0,0,0,,,,,,,,
HID911110,14,.5,.5,0,0,0,0,0,0,0,0,0
HID911113,23,0,0,0,,,,,,,,
HID911169,20,.25,.25,0,0,0,0,0,0,0,0,0
HID911212,14,.3199999928474426,.3199999928474426,0,0,0,0,0,0,0,0,0
HID911244,23,.0799999982118607,.0799999982118607,0,0,0,0,0,0,0,0,0
HID911314,13,6,6,11200,4480,6720,0,0,0,0,0,0
HID911450,3,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID911483,14,.4000000059604645,.4000000059604645,1800,1100,700,0,0,0,0,0,0
HID911487,2,0,0,0,,,,,,,,
HID911576,9,0,0,0,,,,,,,,
HID911705,20,.800000011920929,.800000011920929,2000,1500,500,0,0,0,0,0,0
HID912015,5,1,1,0,0,0,0,0,0,0,0,0
HID912111,17,.9000000059604645,.9000000059604645,0,0,0,0,0,0,0,0,0
HID912439,6,1.5,1.5,2500,1500,1000,0,0,0,0,0,0
HID912597,8,0,0,0,,,,,,,,
HID912599,22,0,0,0,,,,,,,,
HID912734,7,.2599999904632568,.2599999904632568,0,0,0,0,0,0,0,0,0
HID912913,8,1,1,7500,500,7000,0,0,0,0,0,0
HID913053,23,0,0,0,,,,,,,,
HID913063,5,.5299999713897705,.5299999713897705,0,0,0,0,0,0,0,0,0
HID913066,7,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID913078,8,1,1,8300,300,7000,0,0,0,1000,0,0
HID913079,1,0,0,0,0,0,0,0,0,0,0,0
HID913102,1,3,3,3000,2000,1000,0,0,0,0,0,0
HID913128,2,0,0,0,,,,,,,,
HID913179,20,.25,.25,0,0,0,0,0,0,0,0,0
HID913184,1,2,2,5000,1500,3500,0,0,0,0,0,0
HID913269,5,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID913328,2,1.5,1.5,4000,1000,3000,0,0,0,0,0,0
HID913342,7,1.360000014305115,1.860000014305115,3000,1000,2000,0,0,0,0,0,0
HID913362,16,0,0,0,,,,,,,,
HID913381,7,1.600000023841858,1.600000023841858,3850,1000,2850,0,0,0,0,0,0
HID913521,6,0,0,0,,,,,,,,
HID913667,17,0,0,0,,,,,,,,
