hhid,province,zone,area_rice_harvested,qty_rice_harvested
HID144315,7,Coastal,.9350000000000001,2100
HID144332,18,Coastal,0,0
HID144343,2,Tonle Sap,2.8,2000
HID144358,15,Tonle Sap,10,40000
HID144414,2,Tonle Sap,5,31000
HID144449,21,Plain,3.8,10000
HID144452,2,Tonle Sap,0,0
HID144477,15,Tonle Sap,.5,500
HID144559,19,Mountain,0,0
HID144621,13,Mountain,2,2280
HID144632,14,Plain,.9,4000
HID144779,17,Tonle Sap,.888,1200
HID144803,14,Plain,.7,2000
HID144881,1,Tonle Sap,1,2000
HID144888,6,Tonle Sap,0,0
HID144965,21,Plain,.104,420
HID145062,15,Tonle Sap,1.4,260
HID145151,3,Plain,0,0
HID145341,19,Mountain,1,1200
HID145344,3,Plain,0,0
HID145345,14,Plain,3.95,6660
HID145366,7,Coastal,.57,1780
HID145370,21,Plain,.42,1800
HID145443,21,Plain,.3675,2000
HID145546,6,Tonle Sap,2,7000
HID145612,8,Plain,.3,1400
HID145702,8,Plain,2,3500
HID145933,6,Tonle Sap,4.1,8000
HID145942,19,Mountain,1,2500
HID146002,8,Plain,.5,2400
HID146091,5,Mountain,1.02,500
HID146383,12,Plain,.3,600
HID146460,17,Tonle Sap,0,0
HID146542,3,Plain,.3,375
HID146552,3,Plain,1,3000
HID146662,10,Mountain,0,0
HID146672,6,Tonle Sap,0,0
HID146691,3,Plain,.8,1000
HID146904,17,Tonle Sap,1.3,1800
HID146985,25,Plain,0,0
HID147043,9,Coastal,.5,1600
HID147069,5,Mountain,.88,1850
HID147295,8,Plain,.2,600
HID147374,20,Plain,.5,1000
HID147441,4,Tonle Sap,.1,300
HID147557,20,Plain,3,3500
HID147746,5,Mountain,.5,1150
HID147761,2,Tonle Sap,4,9000
HID148023,17,Tonle Sap,1,1000
HID148045,6,Tonle Sap,0,0
HID148048,1,Tonle Sap,.95,4000
HID148055,25,Plain,2,4200
HID148090,3,Plain,1.5,3000
HID148224,25,Plain,0,0
HID148297,6,Tonle Sap,4,6000
HID148327,25,Plain,0,0
HID148335,2,Tonle Sap,0,0
HID148376,22,Tonle Sap,6,5600
HID148438,9,Coastal,0,0
HID148449,1,Tonle Sap,1.64,5500
HID148514,25,Plain,.5,600
HID148528,21,Plain,1,15000
HID148553,17,Tonle Sap,3,2000
HID148686,7,Coastal,.2021,385
HID149084,2,Tonle Sap,0,0
HID149205,17,Tonle Sap,.9,1500
HID149249,9,Coastal,.3,520
HID149306,8,Plain,0,0
HID149343,17,Tonle Sap,0,0
HID149380,7,Coastal,.54,900
HID149518,12,Plain,.36,1650
HID149527,8,Plain,1,6900
HID149537,14,Plain,0,0
HID149634,12,Plain,.4,200
HID149644,5,Mountain,1,2050
HID149739,18,Coastal,0,0
HID149806,17,Tonle Sap,2,8000
HID149847,5,Mountain,.43,2000
HID149870,20,Plain,2,5010
HID149980,3,Plain,0,0
HID150063,1,Tonle Sap,7,7000
HID150076,5,Mountain,2,5000
HID150116,25,Plain,2,3000
HID150129,25,Plain,2.7,7000
HID150155,20,Plain,1,3500
HID150161,22,Tonle Sap,7,12000
HID150189,15,Tonle Sap,10,12000
HID150215,21,Plain,1.5,13500
HID150225,1,Tonle Sap,0,0
HID150268,21,Plain,1.2,7200
HID150410,17,Tonle Sap,4,8000
HID150518,5,Mountain,.35,1300
HID150585,25,Plain,.4,1000
HID150604,8,Plain,.16,800
HID150674,21,Plain,.8,2500
HID150755,20,Plain,.7,600
HID150896,3,Plain,3.45,3000
HID151037,7,Coastal,.3,550
HID151074,5,Mountain,.57,1300
HID151134,19,Mountain,0,0
HID151254,3,Plain,0,0
HID151293,8,Plain,0,0
HID151308,14,Plain,.34,2500
HID151379,2,Tonle Sap,0,0
HID151394,14,Plain,1.9,4500
HID151416,21,Plain,18,80000
