year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2017,.03256967,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2018,.28859312,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2018,.39133924,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2018,.6889315600000001,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2018,2.24912634,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2018,.67053249,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2019,1.3207254,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2019,.11947513,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2019,6.45631744,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2019,1.58963828,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2020,7.220337509999999,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2020,.18873108,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
